rule,class_code,class_name,final_population,max_population,min_population,final_extent,mean_variance,mean_density
81,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
82,3,Class 3: Chaotic Turbulent,32024,39230,26,43.30127019,3.073158172,0.104172054
83,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
84,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
85,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
86,3,Class 3: Chaotic Turbulent,31618,51512,26,42.17819342,3.869841062,0.110589627
87,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
88,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
89,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
90,3,Class 3: Chaotic Turbulent,29726,50506,26,42.73172124,3.741526199,0.110618113
91,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
92,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
93,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
94,3,Class 3: Chaotic Turbulent,46400,53684,26,42.17819342,4.062999513,0.119578057
95,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
96,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
97,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
98,3,Class 3: Chaotic Turbulent,30636,39360,26,41.0487515,3.046038001,0.106845847
99,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
100,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
101,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
102,3,Class 3: Chaotic Turbulent,53040,54192,26,43.30127019,3.602488514,0.114782666
103,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
104,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
105,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
106,3,Class 3: Chaotic Turbulent,31432,46116,26,42.73172124,3.484352033,0.112985207
107,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
108,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
109,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
110,3,Class 3: Chaotic Turbulent,49728,56168,26,42.73172124,4.135246575,0.116937207
111,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
112,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
113,2B,Class 2B: Sparse-Full Blink (N↔Full),1,132625,1,0,1.478042177,0.694986653
114,3,Class 3: Chaotic Turbulent,37510,45908,26,43.30127019,3.434669373,0.113260173
115,1A,Class 1A: Immediate Extinction,0,132651,0,0,0,0
116,1A,Class 1A: Immediate Extinction,0,0,0,0,0,0
